,train_missing_ratio,test_missing_ratio,difference_test_minus_train
DeviceType,76.15572188166763,72.97544262676858,-3.180279254899048
id_36,76.12608798726589,72.96636411540761,-3.159723871858276
id_35,76.12608798726589,72.96636411540761,-3.159723871858276
id_37,76.12608798726589,72.96636411540761,-3.159723871858276
id_38,76.12608798726589,72.96636411540761,-3.159723871858276
M4,47.658753005723575,46.92110181550491,-0.7376511902186635
D2,47.54919226470688,46.33376160223884,-1.2154306624680444
D5,52.4674027161581,44.28241275254543,-8.184989963612665
D3,44.514850814508755,40.0918903236884,-4.422960490820351
D11,47.29349409015477,34.837405835114495,-12.456088255040278
M6,28.678836319300977,31.36803298262649,2.6891966633255144
D4,28.60466691502693,15.167232100037301,-13.437434814989627
D10,12.873302401192129,2.47586793528995,-10.39743446590218
D15,15.09008703898127,2.381925078598199,-12.708161960383071
D1,0.21488806854743114,1.1902717829998954,0.9753837144524643
C13,0.0,0.9370602596059532,0.9370602596059532
card4,0.267043722694483,0.6090496969553436,0.3420059742608606
card6,0.26602770345785215,0.5934583404875949,0.3274306370297428
C7,0.0,0.000592076827889187,0.000592076827889187
C1,0.0,0.000592076827889187,0.000592076827889187
C2,0.0,0.000592076827889187,0.000592076827889187
C3,0.0,0.000592076827889187,0.000592076827889187
C14,0.0,0.000592076827889187,0.000592076827889187
C4,0.0,0.000592076827889187,0.000592076827889187
C9,0.0,0.000592076827889187,0.000592076827889187
C10,0.0,0.000592076827889187,0.000592076827889187
C8,0.0,0.000592076827889187,0.000592076827889187
C12,0.0,0.000592076827889187,0.000592076827889187
C6,0.0,0.000592076827889187,0.000592076827889187
C5,0.0,0.000592076827889187,0.000592076827889187
C11,0.0,0.000592076827889187,0.000592076827889187
card1,0.0,0.0,0.0
TransactionID,0.0,0.0,0.0
TransactionAmt,0.0,0.0,0.0
ProductCD,0.0,0.0,0.0
TransactionHour,0.0,0.0,0.0
TransactionWeek,0.0,0.0,0.0
TransactionDay,0.0,0.0,0.0
has_identity,0.0,0.0,0.0
