feature,importance
P_email_group_gmail,103
P_email_group_yahoo,92
P_email_group_other,79
R_email_group_gmail,75
R_email_group_anonymous,74
P_email_group_anonymous,73
R_email_group_hotmail,70
P_email_group_hotmail,60
R_email_group_yahoo,56
P_email_group_aol,53
P_email_group_Missing,51
same_email_domain_0,40
P_email_group_mail,33
R_email_group_Missing,30
R_email_group_other,27
R_email_group_outlook,27
R_email_group_mail,26
R_email_group_apple,25
P_email_group_apple,18
P_email_group_outlook,12
P_email_missing_0,10
same_email_domain_1,9
R_email_missing_0,7
R_email_group_aol,6
P_email_missing_1,3
R_email_missing_1,2
