feature,importance
card1_count,1177
card1,1001
card2,764
card2_count,743
TransactionAmt,729
addr1,703
addr1_count,650
TransactionDT,648
C13,605
D15,474
D1,418
D10,380
C1,378
P_emaildomain,356
TransactionDay,347
D2,343
dist1,338
C14,300
D4,297
card5,280
C2,255
C6,247
P_email_group,232
D8,229
C11,217
TransactionHour,215
id_02,210
TransactionAmt_decimal,209
M5,204
id_20,203
D11,202
C9,195
card5_count,194
R_emaildomain,188
C5,187
TransactionAmt_log,175
V313,162
V310,160
D3,158
M6,155
card6,154
screen_height,150
id_19,147
ProductCD,142
M4,142
card3_count,138
id_01,129
id_06,120
card4,116
V315,107
V285,107
V53,107
DeviceInfo_group,103
id_05,100
dist2,100
V62,91
D5,91
card3,91
V165,89
C12,88
V83,87
V307,86
V54,85
V45,81
V82,79
OS_group,79
D13,77
V258,76
id_14,76
R_email_group,72
V317,72
V314,70
V281,70
id_17,68
V283,66
V76,66
V320,66
M3,65
V87,64
C8,64
Browser_group,64
TransactionAmt_cents,64
C10,62
V130,61
V55,61
V312,60
V308,58
D6,57
V13,55
screen_width,55
V38,55
V294,51
id_13,51
V35,50
C3,49
V61,49
V20,47
id_09,47
V311,45
V12,44
V86,43
D12,43
V156,43
TransactionWeek,43
V90,43
V48,42
D9,42
V282,41
V291,40
V316,39
V160,39
V56,38
V67,37
V136,37
V78,37
V77,37
V36,36
V75,36
V19,35
V29,35
DeviceType,35
V5,35
V296,34
V309,34
M2,34
V37,33
V139,33
V49,33
same_email_domain,33
V70,32
V152,32
V99,32
V131,31
M7,31
V266,30
V23,30
C4,29
V124,29
V127,28
V319,28
M9,28
V4,27
V133,27
V129,27
V271,27
V289,27
V102,26
V91,26
V69,25
D14,24
V143,24
V81,24
V224,24
id_03,24
id_04,23
V52,23
V149,23
V169,23
V24,23
V30,23
V332,23
id_34,23
V126,22
V44,22
V135,21
V96,21
V189,20
V208,20
V25,20
V187,20
V267,20
V159,20
V261,20
V209,19
V2,19
id_26,19
id_25,18
M8,18
V145,18
V306,17
V336,17
V11,17
V259,17
id_11,17
V66,17
V318,16
V270,16
id_15,16
id_36,15
id_38,15
V221,15
V128,15
V26,15
V7,15
V79,14
addr2_count,14
V132,14
V109,14
V150,14
V207,14
V40,13
V215,13
V3,13
C7,13
V184,13
V286,12
V201,12
V251,12
id_18,12
id_21,12
V33,12
V6,12
V268,12
V51,12
V304,12
V293,11
V137,11
id_07,11
D7,11
V300,11
V280,11
V162,11
V206,10
V43,10
V10,10
V34,10
V166,10
V161,10
V108,10
id_37,10
V272,10
V47,10
V234,9
V256,9
V94,9
V333,9
V220,9
V60,9
V298,9
V115,9
V321,9
addr2,9
V288,9
V85,9
V323,9
V301,8
V74,8
V339,8
id_08,8
V292,8
V277,8
id_10,8
V63,8
V58,8
V178,8
V230,8
V172,8
V163,8
V217,8
V216,8
V205,8
V203,8
V182,7
V218,7
V233,7
V276,7
V157,7
V265,7
V331,7
V71,7
V50,7
id_12,7
id_16,7
V210,6
V245,6
V303,6
V140,6
V142,6
V295,6
V274,6
V144,6
V105,6
V125,6
V330,6
V97,6
V95,6
id_28,6
id_32,6
V73,6
V326,5
P_email_missing,5
V223,5
V257,5
V171,5
V264,5
V116,5
V123,5
V141,5
V146,4
V151,4
V222,4
V177,4
V164,4
V248,4
V229,4
V232,4
V219,4
V192,4
V227,4
V255,4
V297,4
V134,4
V59,4
V279,4
V170,4
V175,4
V302,4
V275,4
V64,4
V324,4
V335,4
V80,4
V231,3
V236,3
V103,3
R_email_missing,3
V211,3
TransactionAmt_is_round,3
V185,3
V200,3
V228,3
V226,3
V246,3
V244,3
V243,3
V253,3
V21,3
id_27,3
id_23,3
V72,3
V287,3
V167,3
V93,3
V273,3
V260,3
V263,3
V8,2
V16,2
V17,2
V101,2
V100,2
V158,2
V278,2
V180,2
V183,2
V225,2
V195,2
V213,2
V46,2
id_35,2
V22,2
V39,2
V327,2
V84,2
V329,2
V31,2
V338,2
V57,2
V337,2
V299,2
V92,2
V334,1
V98,1
V104,1
V176,1
V179,1
V198,1
V196,1
V202,1
V204,1
V190,1
V235,1
V239,1
V238,1
V252,1
V110,1
M1,1
id_29,1
V42,1
V121,1
V290,1
V138,1
V118,1
V173,1
V269,1
V262,1
V18,1
V9,1
V111,1
V250,0
V254,0
V214,0
V181,0
V186,0
V197,0
V199,0
V249,0
V247,0
V242,0
V241,0
V240,0
V237,0
V188,0
V191,0
V194,0
V193,0
V212,0
V168,0
V148,0
V284,0
V106,0
V119,0
V122,0
V305,0
V120,0
V113,0
V114,0
V117,0
V112,0
V174,0
V154,0
V153,0
V147,0
V155,0
V107,0
V328,0
V88,0
V89,0
V65,0
V68,0
V325,0
V322,0
V41,0
id_22,0
id_24,0
V32,0
V27,0
V28,0
V14,0
V1,0
V15,0
has_identity,0
