feature,importance
TransactionDT,1778
card1,1519
C13,1315
uid_card1_addr1_pemail_TransactionAmt_std,1047
card2_addr1_count,1046
uid_card1_addr1_pemail_TransactionAmt_max,1020
D15,991
addr1,980
uid_card1_addr1_pemail,944
card2,926
D1,896
card1_P_emaildomain_count,895
card1_TransactionAmt_mean,855
card1_TransactionAmt_max,845
C1,815
uid_card1_addr1_pemail_TransactionAmt_mean,808
card1_TransactionAmt_std,786
TransactionAmt_range_ratio_P_emaildomain,778
uid_card1_addr1_pemail_TransactionAmt_median,773
uid_card1_addr1_pemail_TransactionAmt_min,767
uid_card1_addr1_product_TransactionAmt_std,755
TransactionDay,755
card1_TransactionAmt_min,739
uid_card1_card2_addr1_pemail,730
D10,714
addr1_TransactionAmt_std,710
addr1_TransactionAmt_max,707
TransactionHour,700
uid_card1_addr1,694
addr1_ProductCD_count,689
card1_TransactionAmt_median,681
TransactionAmt_decimal,652
card2_TransactionAmt_min,645
dist1,644
addr1_count,635
D2,635
card2_TransactionAmt_std,634
uid_card1_addr1_product_TransactionAmt_min,629
card1_count,624
D4,624
card2_TransactionAmt_mean,620
C14,618
uid_card1_addr1_product,610
card2_count,609
id_02,608
card1_ProductCD_count,607
card2_ProductCD_count,605
addr1_TransactionAmt_mean,580
card2_TransactionAmt_max,579
TransactionAmt_range_ratio_addr1,577
card1_R_emaildomain_count,577
uid_card1_addr1_product_TransactionAmt_mean,575
TransactionAmt_range_ratio_card1,562
TransactionAmt_range_ratio_card2,559
uid_card1_addr1_pemail_count,551
C11,526
uid_card1_addr1_product_TransactionAmt_median,526
uid_card1_addr1_TransactionAmt_max,521
id_20,511
C2,505
C6,501
uid_card1_addr1_TransactionAmt_std,491
uid_card1_card2_addr1_product,484
D8,464
card2_TransactionAmt_median,462
uid_card1_addr1_TransactionAmt_median,455
uid_card1_addr1_TransactionAmt_min,453
uid_card1_card2_addr1_TransactionAmt_std,451
uid_card1_addr1_TransactionAmt_mean,449
uid_card1_addr1_product_TransactionAmt_max,447
uid_card1_card2_addr1,444
P_emaildomain_ProductCD_count,428
addr1_TransactionAmt_median,427
TransactionAmt_minus_P_emaildomain_mean,423
TransactionAmt_range_ratio_uid_card1_addr1_pemail,409
uid_card1_addr1_count,407
TransactionAmt_range_ratio_ProductCD,407
uid_card1_card2_addr1_TransactionAmt_mean,399
id_19,394
TransactionAmt_zscore_card1,393
addr1_TransactionAmt_min,385
TransactionAmt_zscore_uid_card1_addr1_pemail,385
TransactionAmt_minus_addr1_mean,383
uid_card1_card2_addr1_TransactionAmt_min,375
uid_card1_card2_addr1_TransactionAmt_max,375
uid_card1_card2_addr1_TransactionAmt_median,372
card5,366
uid_card1_card2_addr1_pemail_count,362
D11,360
uid_card1_addr1_product_count,358
card5_count,356
TransactionAmt_minus_card2_mean,355
TransactionAmt_minus_uid_card1_addr1_pemail_mean,352
C9,349
TransactionAmt_ratio_uid_card1_addr1_pemail_mean,346
TransactionAmt_zscore_card2,346
P_emaildomain_TransactionAmt_max,339
M5,332
TransactionAmt_minus_card1_mean,331
P_emaildomain,324
P_emaildomain_TransactionAmt_mean,323
TransactionAmt_range_ratio_uid_card1_addr1_product,320
D3,317
C5,316
TransactionAmt_minus_uid_card1_addr1_product_mean,310
TransactionAmt_zscore_P_emaildomain,306
M4,302
TransactionAmt_zscore_addr1,302
TransactionAmt_zscore_uid_card1_addr1_product,299
M6,289
TransactionAmt_zscore_ProductCD,284
id_06,282
id_05,282
TransactionAmt_ratio_card1_mean,280
TransactionAmt_minus_ProductCD_mean,277
screen_height,274
dist2,273
uid_card1_card2_addr1_product_count,273
uid_card1_card2_addr1_count,269
TransactionAmt_ratio_uid_card1_addr1_product_mean,265
V313,261
TransactionAmt_ratio_ProductCD_mean,260
TransactionAmt_range_ratio_uid_card1_addr1,258
TransactionAmt_ratio_P_emaildomain_mean,254
R_emaildomain,254
DeviceInfo_group,243
P_emaildomain_TransactionAmt_std,243
D5,242
V310,242
P_email_group,239
TransactionAmt_ratio_card2_mean,235
P_emaildomain_TransactionAmt_min,235
TransactionAmt_zscore_uid_card1_card2_addr1,234
TransactionAmt_range_ratio_uid_card1_card2_addr1,224
TransactionAmt_ratio_addr1_mean,223
TransactionAmt_zscore_uid_card1_addr1,221
id_01,220
TransactionAmt_ratio_uid_card1_card2_addr1_mean,218
P_emaildomain_TransactionAmt_median,192
TransactionAmt_minus_uid_card1_card2_addr1_mean,190
V307,183
V315,182
TransactionAmt_minus_uid_card1_addr1_mean,180
C10,179
card3_count,177
V53,176
Browser_group,175
C8,174
D13,164
TransactionAmt,162
V45,160
V83,155
TransactionAmt_cents,155
V87,153
V62,152
C12,150
card6,149
V82,148
V76,145
M3,145
V314,143
TransactionAmt_ratio_uid_card1_addr1_mean,141
V165,136
V281,128
card4,128
V285,127
V258,126
id_13,125
V54,122
OS_group,117
V61,117
D6,113
D9,111
V55,111
V312,110
V294,110
V38,102
V317,101
id_14,100
V13,99
screen_width,98
V283,98
V311,97
D14,95
R_email_group,94
V130,92
V308,89
V320,86
V86,85
uid_card1_addr1_P_emaildomain_count,85
V261,80
V78,80
C4,80
V20,79
V19,79
V296,78
id_09,78
V187,76
V77,75
same_email_domain,74
C3,72
V12,72
D12,72
V309,71
V56,70
TransactionWeek,69
DeviceType,69
card3,69
V35,69
M9,68
M7,68
V127,67
V75,67
V266,67
V67,67
V49,65
V70,65
V23,65
V156,65
V136,64
V139,62
id_17,60
ProductCD_TransactionAmt_mean,60
