P_emaildomain,COUNT,RATIO,TARGET_MEAN
aim.com,315,0.05334100992312121,0.12698412698412698
anonymous.com,36998,6.265113286144884,0.02321747121466025
aol.com,28289,4.790361364175162,0.021810597758846195
att.net,4033,0.68293426355539,0.007438631291842301
bellsouth.net,1909,0.3232634537880584,0.02776322682032478
cableone.net,159,0.026924509770718325,0.018867924528301886
centurylink.net,205,0.03471399058488841,0.0
cfl.rr.com,172,0.029125884783418567,0.0
charter.net,816,0.13817861618179972,0.030637254901960783
comcast.net,7888,1.3357266230907305,0.03118661257606491
cox.net,1393,0.2358857994378027,0.0208183776022972
earthlink.net,514,0.08703898127137874,0.021400778210116732
embarqmail.com,260,0.04402750025400481,0.03461538461538462
frontier.com,280,0.04741423104277441,0.02857142857142857
frontiernet.net,195,0.033020625190503604,0.02564102564102564
gmail,496,0.0839909235614861,0.02217741935483871
gmail.com,228355,38.668845463474106,0.043541853692715286
gmx.de,149,0.025231144376333524,0.0
hotmail.co.uk,112,0.018965692417109763,0.0
hotmail.com,45250,7.6624784095912215,0.052950276243093924
hotmail.de,43,0.007281471195854642,0.0
hotmail.es,305,0.05164764452873641,0.06557377049180328
hotmail.fr,295,0.04995427913435161,0.0
icloud.com,6267,1.0612320926609544,0.03143449816499123
juno.com,322,0.054526365699190574,0.018633540372670808
live.com,3041,0.5149524164324177,0.027622492601118053
live.com.mx,749,0.12683306803942154,0.05473965287049399
live.fr,56,0.009482846208554881,0.0
mac.com,436,0.0738307311951773,0.03211009174311927
mail.com,559,0.09465912554611033,0.18962432915921287
me.com,1522,0.25773021302536664,0.017739816031537452
msn.com,4092,0.6929251193822603,0.021994134897360705
netzero.com,230,0.03894740407085041,0.0
netzero.net,196,0.03318996172994209,0.00510204081632653
optonline.net,1011,0.17119924137230333,0.016815034619188922
outlook.com,5096,0.8629390049784943,0.0945839874411303
outlook.es,438,0.07416940427405426,0.13013698630136986
prodigy.net.mx,207,0.03505266366376537,0.004830917874396135
protonmail.com,76,0.012869576997324482,0.40789473684210525
ptd.net,68,0.011514884681816643,0.0
q.com,189,0.03200460595387273,0.0
roadrunner.com,305,0.05164764452873641,0.009836065573770493
rocketmail.com,664,0.11243946218715074,0.0030120481927710845
sbcglobal.net,2970,0.5029295221322857,0.00404040404040404
sc.rr.com,164,0.027771192467910724,0.006097560975609756
servicios-ta.com,35,0.005926778880346801,0.0
suddenlink.net,175,0.029633894401734005,0.022857142857142857
twc.com,230,0.03894740407085041,0.0
verizon.net,2705,0.4580553391810885,0.008133086876155268
web.de,240,0.04064076946523521,0.0
windstream.net,305,0.05164764452873641,0.0
yahoo.co.jp,32,0.005418769262031361,0.0
yahoo.co.uk,49,0.008297490432485522,0.0
yahoo.com,100934,17.091814271683543,0.02275744545940912
yahoo.com.mx,1543,0.2612862803535747,0.010369410239792612
yahoo.de,74,0.012530903918447522,0.0
yahoo.es,134,0.022691096284756324,0.014925373134328358
yahoo.fr,143,0.024215125139702646,0.03496503496503497
ymail.com,2396,0.40573034849459816,0.020868113522537562
,94456,15.99485216920107,0.02953756246294571
