R_emaildomain,COUNT,RATIO,TARGET_MEAN
aim.com,36,0.006096115419785281,0.027777777777777776
anonymous.com,20529,3.4763098181325565,0.02912952408787569
aol.com,3701,0.6267145324618146,0.03485544447446636
att.net,430,0.07281471195854641,0.0
bellsouth.net,422,0.07146001964303858,0.004739336492890996
cableone.net,27,0.004572086564838961,0.0
centurylink.net,12,0.0020320384732617604,0.0
cfl.rr.com,37,0.006265451959223761,0.0
charter.net,127,0.021505740508686963,0.03937007874015748
comcast.net,1812,0.3068378094625258,0.011589403973509934
cox.net,459,0.07772547160226234,0.023965141612200435
earthlink.net,79,0.013377586615639923,0.0759493670886076
embarqmail.com,68,0.011514884681816643,0.0
frontier.com,52,0.008805500050800961,0.0
frontiernet.net,14,0.0023707115521387203,0.0
gmail,95,0.016086971246655604,0.0
gmail.com,57147,9.677075219290819,0.11918385917021015
gmx.de,147,0.024892471297456566,0.0
hotmail.co.uk,105,0.017780336641040402,0.0
hotmail.com,27509,4.658278863413147,0.07779272238176596
hotmail.de,42,0.007112134656416162,0.0
hotmail.es,292,0.04944626951603617,0.0684931506849315
hotmail.fr,293,0.04961560605547465,0.0
icloud.com,1398,0.2367324821349951,0.12875536480686695
juno.com,53,0.008974836590239442,0.0
live.com,762,0.12903444305212178,0.049868766404199474
live.com.mx,754,0.12767975073661395,0.058355437665782495
live.fr,55,0.009313509669116402,0.0
mac.com,218,0.03691536559758865,0.009174311926605505
mail.com,122,0.020659057811494564,0.3770491803278688
me.com,556,0.0941511159277949,0.019784172661870502
msn.com,852,0.144274731601585,0.0011737089201877935
netzero.com,14,0.0023707115521387203,0.0
netzero.net,9,0.0015240288549463203,0.2222222222222222
optonline.net,187,0.031665932874995764,0.0106951871657754
outlook.com,2507,0.42452670437226947,0.1651376146788991
outlook.es,433,0.07332272157686186,0.13163972286374134
prodigy.net.mx,207,0.03505266366376537,0.004830917874396135
protonmail.com,41,0.006942798116977681,0.9512195121951219
ptd.net,27,0.004572086564838961,0.0
q.com,25,0.004233413485962001,0.0
roadrunner.com,53,0.008974836590239442,0.0
rocketmail.com,69,0.011684221221255122,0.043478260869565216
sbcglobal.net,552,0.09347376977004097,0.0018115942028985507
sc.rr.com,8,0.0013546923155078403,0.0
scranton.edu,63,0.010668201984624242,0.0
servicios-ta.com,35,0.005926778880346801,0.0
suddenlink.net,25,0.004233413485962001,0.04
twc.com,29,0.004910759643715921,0.0
verizon.net,620,0.10498865445185762,0.0
web.de,237,0.04013275984691977,0.0
windstream.net,47,0.00795881735360856,0.0
yahoo.co.jp,33,0.005588105801469841,0.0
yahoo.co.uk,39,0.006604125038100721,0.0
yahoo.com,11842,2.0052833000304804,0.05151156899172437
yahoo.com.mx,1508,0.2553595014732279,0.010610079575596816
yahoo.de,75,0.012700240457886003,0.0
yahoo.es,57,0.009652182747993362,0.03508771929824561
yahoo.fr,137,0.023199105903071764,0.0364963503649635
ymail.com,207,0.03505266366376537,0.03864734299516908
,453249,76.75161716395164,0.02081857875031164
